제목,피쳐링,작사가,작곡가,편곡자,재생시간,가사
춥다 (Feat. 이하이),['이하이'],[],"['타블로', '최필강']",[],04:11,"봄이 와 꽃을 피우고.
여름이 와 기억이 녹아 내려도... 

난 원래 사계절이 어울리지 않아, 
차가운 아이잖아. 
모진 성격은 살을 에는 겨울. 
시린 바람. 알만큼 알잖아.
내겐 냉정이 다인걸. 
겨울바다 같은 심장인걸. 
배를 띄워 다가오면 알겠지. 
내가 섬이 아닌 빙산인걸.
난 초점을 잃었지. 
서리 낀 눈. 시린 기억이 
밟혀서 목젖 없이 비명만 질렀지. 
아픈 상처만 남은 빙판이었지. 
눈사태 난 듯 무너진 맘. 
추스려 보니 다시 불 꺼진 밤. 
너란 해가 떠도 눈 덮인 산은 녹지 않아.

여긴 춥다. 주머니에 손을 숨겨봐도
너무 춥다. 손을 모아 입김 불어봐도
마음이 얼어붙어서 자꾸 입술이 튼다. 

나만 춥다. 이불로 내 몸을 감싸봐도
너무 춥다. 누군가의 품에 안겨봐도
가슴이 구멍 나서 막아보려 해도 
자꾸 바람이 샌다. 

봄은 설레며 찾아오지만 
난 가을의 끝자락에 서.
겨울에 멈춘 기억. 따스함은 가뒀어. 
마른 마음의 튼 살 안에서.
얼어붙은 강물에 갇힌 추억. 
붙잡고 내 손을 놓지 않아.
차가웠던 이별을 안 뒤부터 
꽃 피던 그 봄은 오지 않아.
벚꽃이 내겐 눈송이처럼 피잖아. 여긴 춥다.
햇살도 내겐 눈보라처럼 치잖아. 나만 춥다.
건드리면 다 얼리잖아. 
너의 손을 잡을까 겁이 난다.
네가 나와 가까워지면 
너의 심장도 몸살 걸릴까봐.

여긴 춥다. 주머니에 손을 숨겨봐도
너무 춥다. 손을 모아 입김 불어봐도
마음이 얼어붙어서 자꾸 입술이 튼다. 

나만 춥다. 이불로 내 몸을 감싸봐도
너무 춥다. 누군가의 품에 안겨봐도
가슴이 구멍 나서 막아보려 해도 
자꾸 바람이 샌다. 

I'm cold as ice. I'm cold as ice. 
I'm cold as ice. So cold. 

봄이 와 꽃을 피우고.
여름이 와 기억이 녹아 내려도 여긴...

여긴 춥다. 너무 춥다.
마음이 얼어붙어서 자꾸 입술이 튼다. 

나만 춥다. 너무 춥다.
가슴이 구멍 나서 막아보려 해도 
자꾸 바람이 샌다."
Lullaby For A Cat,[],['타블로'],['타블로'],['타블로'],02:12,"Oh damn.
Volume way up on my phone
and
next to my head on the floor
and
beats on repeat, 
the rain tap dancin’ on my windowpane.
Whoever said no pain, no gain
don’t know pain.
Intimately like I do.
As infinitely as I do.
Been lied about and lied to
too many times to fight it.
Some bridges were built to burn.
No need to help ignite it.
A party of one or party of none,
please keep me disinvited.
Tuck you in
as I tuck another tear behind my eyelids.

Good night."
1분 1초 (Feat. 타루),['타루'],[],['타블로'],[],04:28,"I can’t let go (go go go)
어딜 봐도 네 모습이 보이고 (무너지는 내 맘)
숨길 수가 없어 baby 단 1분 1초도 
I can’t let go (go go go)
어딜 가도 네 목소리 들리고 (부서지는 심장)
숨 쉴 수가 없어 baby  단  1분 1초도 
(한 순간도 단 1분 1초도)

그 날 넌 머리가 맘에 안들고 
눈이 부었다고 다시 잠들고 
난 외투를 벗으며 말 없이 삐지고 
전화기를 들어 밥을 시키고 
커튼을 치고 몇 시간이 지났는지도 모르고 
watching dvds (just you and me) 
어깨에 기댄 너의 숨소리 
난 나가지 않길 잘했다고 생각했지

우습게도 이런 기억들이 아직도 날 괴롭힌다
문득 니가 있던 농담들이 기억나고 무너진다 
아무것도 아닌 순간들이 오늘도 날 뒤엎는다 
문득 니가 짓던 표정들이 기억나고 부서진다

I can’t let go (go go go)
어딜 봐도 네 모습이 보이고 (무너지는 내 맘)
숨길 수가 없어 baby 단 1분 1초도 
(시간이 멈추고 심장이 멈춰도)
I can’t let go (go go go)
어딜 가도 네 목소리 들리고 (부서지는 심장)
숨 쉴 수가 없어 baby  단  1분 1초도 
(한 순간도 단 1분 1초도)

그 어딜가도 창가옆 모퉁이 
구석자리에 앉을 때 손을 포개놓지 왼쪽다리에 
피곤해 하품할 땐 닦은 눈물을 보곤해 
그리곤 바보처럼 웃어 양볼에 보조개 
물을 마실 땐 항상 세워둔 
새끼손가락 눈이 부셨어요 
윤기나던 검은 머리카락 
서툰 젓가락질 조차 매력이라 말했어 
불어튼 입술도 난 영원하길 바랬어

This is L-O-V to the E
그래 이 그 사소했던 기억이 
맘을 뒤섞고 나를 뒤엎고 눈물은 끝이 없지 (없지)
사랑은 폭풍도흔들지 못하는 마음을 
몰아치는 빗물 한방울 the little memories 
술 잔처럼 비워진 투명해진 우리 작은 추억들 
돌이키려 돌아봐도 다시 만들 수 없는 
그대와의 기억 
어젯밤 꿈처럼 선명한데 날 떠났네

I can’t let go (go go go)
어딜 봐도 네 모습이 보이고 (무너지는 내 맘)
숨길 수가 없어 baby 단 1분 1초도 
(시간이 멈추고 심장이 멈춰도)
I can’t let go (go go go)
어딜 가도 네 목소리 들리고 (부서지는 심장)
숨 쉴 수가 없어 baby  단  1분 1초도 
(한 순간도 단 1분 1초도)

한 순간도 , 단 1분 1초도 (x3)
I can’t let go 

I can’t let go
(숨죽인 작은 속삭임도) 한순간도
(달콤한 둘만의 비밀도)
아름다웠던 만큼 슬펐던 그대와 나
(내 눈물이 그대에게 기억될 수 있을까)
I can’t let go 
(둘만의 버릇과 습관도)
한순간도
(그 아름다웠던 순간도)
아직 한순간도 단 1분 1초도
(되돌릴 수가 없어)
단 1분1초도"
19금 정당방위 (Feat. 우원재 & 넉살 & 창모),"['우원재 (Woo)', '넉살 (Nucksal)', '창모 (CHANGMO)']","['타블로', '미쓰라', '우원재 (Woo)', '넉살 (Nucksal)', '창모 (CHANGMO)']","['코드 쿤스트 (CODE KUNST)', '타블로']",['코드 쿤스트 (CODE KUNST)'],03:38,"착하게 살기가 더럽게 어려워
둘러보면 죄다 궁전 아니면 gutter
Everybody wanna beef for that bread
위와 아래 그 중간에 껴
몸이 버거워
핏기 좀 봐야 다들 살맛 나지 않소?
먹잇감이 내 업인데
What can I do?
＂밥그릇 뺏기 전에 말 잘 들어야 해＂
똥개 취급하고 웬 순종을 바래?
아하! 알 권리, 알 권리?
덕분에 알을 까는 
찌라시와 떼를 짓는 fuckery
미세먼지는 무슨
뿌연 서울 하늘 가득 아니 땐 굴뚝 연기지
내 기분 완전 정식이
눈만 뜨면 빡쳐
그만 좀 하셔
왜 자꾸 싸움 붙이고 지랄이야?
Leave me alone, f**ka!

Huh?
Look at the window
Bruh Lockdown 되어버린 뒤엔 
더 나불대는 입
너 그러다 큰코다쳐요
Bend your back like limbo
님이 선이요
정당방위 의거
들어 댓글 잼민아
꼰대 형들 사는 세상이 Youtube 와는 
꽤 많이 달라요 대가리 박어 huh
이런 말 좋아요? 어?
Would u do fuck off man Was it my way?

애써 모은 돈이 나를 새
Oh wait
Hate that 그저 밉지?
Rest in peace 
King Nipsey Hussle You are just b
I don't know that

스트레스 받는 건 내 손해
욕을 박아, 그게 내 소개
식사예절 지저분해 
수단 안 가리지 먹어 테이블째
Hey hey 여, 여기 tape 교체 
빨간 불 사방에 눈 뒤집어 까고 덤벼들어 
내 고개를 뜯겠다고 
Yo 덤벼 난 Scarface
받은 건 받은 대로 갚아줘
바른대로 말해, 너 처맞아
웃기만 했더니 우스웠니 
네 윗니 털어버려 
원수의 원수까지 
다 날 좋아하다니 하하
오늘 못 간다 해
Tell your mama
전화 들어 마지막 고해성사
나 좀 냅두라니까 씨X놈아

죄다 미쳐 날뛰고 있어
남의 고통에 눈먼 놈인 척
꼭 찔러봐야 속이 편해
사회 전반이 걸린 고질병
늘 소통은 직진
원하지도 않은 호통, 가르침
듣다 보니 질식할 듯해 
난 마스크를 찢지
두렵지, 내가 뱉는 헛기침?
사회적 거리보다 
두고 싶어 부정적인 쓰X놈들과의 거리
바이러스나 너나 똑같은 거지
고통만 남겨준다는 점이
겨울바람에 낙엽 떨어지듯
계속 바닥이나 쳐버려 
난 동이 틀 때처럼 
삼켜 버려 어둠조차도
해가 되길 바래 
내 온몸이 불타도

답답해, 답답해
딱딱 아니 나 답답해
홀로 여까지 왔어 거리 사내답게
심지어 왔어 나의 상상 이상의 위치
내 편이 없단 거는 개의치 않은 채
이사 왔어 내 반대 세력 마당 앞에
카모 Bathing Ape
후드 꾹 눌러쓴 채
브리오니 수트를 
엄마 돈으로 산 새끼들 패 부티로
소싯적 굶던 시절 잊은 새끼
비싼 옷 입고 깝치는 새끼 
제이콜 히트처럼 middle 새끼
세상은 말해 하나 골라
난 말해 fuck you 
나는 hero, 이 서울을 구원할 새끼
Hero, 리에 돈 수혈할 새끼
래퍼라면서 본업은 패피인
새끼들아 너넨 뭐야?
이 새끼들은 말해
어쩌구 씬, blah 리스펙, b***h, cash 
좆까 니 무댄 magazine
난 너네 해본 것들 하나 빼고 다 해봤지
존나 비벼대 좋은 기회들을 따내 본 일
개성도 없는 또래 놈들 그저 본건 많아
돔페리뇽을 딸 때 나는 따지 라가불린
강북 대 강남이지
가려봐 누가 진짜 artist지?
나니까 이젠 좆까자 예술가 마케팅

I swear to God
Swear I didn't wanna have to kill again
Eye for an eye
Classic after classic, this is number ten
야 이 새끼들아
Name a f**kin' rapper we ain't influenced
It's Epik High
If I'm guilty
It was all in self-defense

BANG!"
Paris (Feat. Jisun of Loveholic),['지선'],"['타블로', '미쓰라']",['이현도'],['이현도'],03:39,"[Song]
술에 취해 숨소리조차 차가워 졌을때
어둠속에서 귓속에 속삭이는 그대
나 이제 날아가네 내 꿈속에서 미소와
그대란 작은 날개를 가졌으니...
나 이제 날아가네 내 꿈속에서 그대와
차가운 이 세상 다 등지고 날아가

[Bridge]
Oh (Faith) Oh Oh Oh (Destiny) 
Oh Oh (Love) 눈물을 막지는 못해
Oh (Faith) Oh Oh Oh (Destiny) 
Oh Oh (Love) 시간을 멈추진 못해

[Tablo]
잊혀진 낙원을 등지고
찢겨진 날개를 숨기고 
저 밤거리로 다 버리고
낮선 찻 발걸음도 망설이고
눈이 부신 네온 불빛과
불현듯 내게 온 그림자
아무도 모르고
배 고프고 가슴이 목을 조르고
황폐한 도시
내 두손바닥에 큰 못이
이 곳이 타락의 메카
내 사랑이란 죄의 댓가
하늘이 버린 별, 운명도 어긴 걸
그대와 눈 뜨고 숨쉬고 싶어
내 날개를 버린 걸...

[Mithra 眞]

숨막혀 나 눈이 감겨
이 도시보다 숨이 차서 
터져버릴 듯한
내 심장을 움켜쥐니 타서
자꾸만 퍼지는 향기로
이성의 날개는 잘리고
검은 달빛을 삼키고
어두운 밤길을 달리고
그 어떤 말도 말고
안고 날아가 어디라도
후회로 같힌 섬이라도
심장을 도려낼 벌이라도
받아 나 참고 견딜게
바다와 산도 널 위해 
가를 테니 하늘 땅안에
별이 될때까지 사랑해

[Mithra 眞]
눈이 부신 붉은 태양
지금 너를 향한 내 맘
너무 간절한 너를 택한
내 사랑은 하늘을 배반
하지만 네 품안에 사는 나
땅에 누워 미소를 찾는 나
또 다른 차원에 살아가
자라 새 날개로 날아가

[Tablo]
따라가리 저 땅끝까지도 
바다가 치는 거친 파도
팔과 다리 날개 꺽인대로
사랑하니까 불멸을 배신했죠
차가웠던 도시도 사막에도 꽃피고
다 등지고 가로등 뒤로 
너와 내 사랑은 숨쉬고"
Run,[],['타블로'],"['미쓰라', '타블로']",['필터'],03:30,"Run run run away.. 
아무리 도망쳐봐도 
벗어날수 없어 
Run run run away.. 
달리다 뒤돌아봐도 
난 그대로 있어 

눈 앞이 검어 세상은 
너무나도 빨리 걸어 
나만 두 다리 절어 
갈길이 한없이 멀어 
이 길의 끝엔 뭐가 있을까?
(난 알고 가는가?) 
그냥 눈 감은 채 
이끌려 간다면 더 빠를까 
이런 나의 질문에 
늘 답이 없는 나는 
일상속에 묶인 두 팔로 
꿈조차도 못 잡을 
만큼 무거워 겁이나 
다 지쳐 버린 나 
오늘 하루만 미친 척 
달려버려 어딘가 

하늘에 손이 닿을 때까지 
달려 가 
가슴에 꿈이 찰 때까지 
달려 가 

Everybody Run! 
Run! Run! Away 
아무리 도망쳐봐도 
벗어날수없어 

Everybody Run! 
Run! Run! Away 
달리다 뒤돌아봐도 
넌 그대로 있어 
You Got me Running 
Running Running around 
Down Down Down 
You tell me Running 
Running Running around 
Down Down Down 
You Got me Running 
Running Running around 
Down Down Down 
No Way 
아무리 달려봐도 제자리에 
Run...run.. 
내 삶은 365일 
비가 쏟아지는 밤 
24시간속에 좁아지는 맘 
작은 여유의 쉼표도, 
그 꼬리를 감추고 날 맞추고 
은밀한 마침표. 가 되지만 
(아침을 짊어지고 달려) 
뭘 향해 뛰는건지.. 
해가 지는건지.. 
내가 지는건지.. 
I dont know 
but I dont give up 
run it run it run it now 
거대한 은하수가 버린 
어린 별인 나 

하늘에 손이 닿을 때까지 
달려 가 
가슴에 꿈이 찰 때까지 
달려 가 

Everybody Run! 
Run! Run! Away 
아무리 도망쳐봐도 
벗어날수없어 

Everybody Run! 
Run! Run! Away 
달리다 뒤돌아봐도 
넌 그대로 있어 

You Got me Running 
Running Running around 
Down Down Down 
You tell me Running 
Running Running around 
Down Down Down 
You Got me Running 
Running Running around 
Down Down Down 

No Way 
아무리 달려봐도 제자리에 

You Got me Running 
Running Running around 
Down Down Down 
You tell me Running 
Running Running around 
Down Down Down 
You Got me Running 
Running Running around 
Down Down Down"
평화의 날,[],['타블로'],['타블로'],[],03:39,"(오빠 좀 웃어봐-) 

Epik high yeah 평화 
high school with that 
new oh school come on 

선배가 네 여자 넘볼때
만취된 널 맞서는 전봇대 
전화기보다 비싼 요금제 
멋대로 대기번호 뛰어 넘길 때 hey- 

ok 딱 하루 참아보세
평화의 날 달력에 적어보세 
삶이란 값속에 이 순간은 돛대 
Party like it’s your birthday 평화 

어제 산 흰티에 물들 때 
애써 지우려 발악하다 번질 때 
버스에 목메다 택시 탈 때 
꼭 바로 뒤에 따르는 버스 볼 때 

바로 오늘의 인내가 
인생 대 역전의 꿈의 티켓 
다들 홧김에 일을 망치네 
참아 오늘이 네 화를 삭힐때 

쓸때 없는데 성질을 죽일수가 없을때 
클럽에서 춤출때 몸치가 
파리처럼 달라 붙을때 

따분하고 온갖 짜증나도
오늘 딱 하루만 참아줘 
바보같고 못난 짝사랑도 
오늘 딱 하루만 사귀어줘 

딱 하루만 서로 돕자 
딱 하루만 서로를 보자 
온갖 오만 인상에 녹아 
혹 누가 날 보나 움추린 꼴봐 

우하하하 웃자 마음속에 미움을 묻자 
품자 모두 사랑을 품자 
평화의 바람에 춤추자 

춤을 추자 화끈한 사랑을 나누자 
사주와 팔자 버리고 사람을 받아주자 
부자들아 베풀자 모두 다 
부모님의 계좌번호 외워두자 

여자들은 화장을 다 지워 
남자는 몸 대신 사상을 키워 
지워 식상함 집어치워 
자 너와 내 맘과 술잔을 비워 

따분하고 온갖 짜증나도
오늘 딱 하루만 참아줘 
바보같고 못난 짝사랑도 
오늘 딱 하루만 사귀어줘 

나와 너와 오늘 딱 
하루만의 작은 변화 
너와 나 우린 하나 
두 손가락을 위로 들고 평화 

나와 너와 오늘 딱 
하루만의 작은 변화 
너와 나 우린 하나 
두 손가락을 위로 들고 평화 

쓸때 없는데 성질을 죽일수가 없을때 
죽일수가 없을때 
클럽에서 춤출때 몸치가 
파리처럼 달라 붙을때 

따분하고 온갓 짜증나도 
오늘 딱 하루만 참아줘 
바보같고 못난 짝사랑도 
오늘 딱 하루만 사귀어줘 

따분하고 온갓 짜증나도 
오늘 딱 하루만 참아줘 
바보같고 못난 짝사랑도 
오늘 딱 하루만 사귀어줘 -"
Face ID (Feat. 기리보이 & Sik-K & JUSTHIS),"['기리보이', '식케이 (Sik-K)', '저스디스 (JUSTHIS)']","['타블로', '미쓰라', '기리보이', '식케이 (Sik-K)', '저스디스 (JUSTHIS)']","['DJ 투컷', '타블로', 'Mighty Mike', '식케이 (Sik-K)']","['DJ 투컷', 'Mighty Mike']",03:37,"죽고 산 게 엊그제
낙인 한두 개는 뭐, 풀옵션인데
찍혀도 내 뜻대로면 no prob with dat
Here’s a selfie, 다 폰에서 엄지 떼
매일 picture perfect day, no doubt
World tour sold out 벌써 몇십 회
난 노답에겐 no 답, 날 시험할 때
무시가 답이면 늘 만점이기에
어차피 다들 센 척하지?
막상 대면하면 무장해제. Face ID.
다 눈 밖에 날까 봐 출발선에 서있어
앞서가는 놈은 전부 선 넘었어

눈깔에 힘 빼고 인사 박아 90도로
악수하기 전에 먼저 해라 손소독
난 앞으로 전진, 넌 그만 좀 해라 뻘짓
욕을 싸지르다 모른 척하는 그 연기
수준들이 거의 조정석
수고했다 질투뿐인 너의 보고서
재능 낭비하지 말고 소설 써
그거 아님 니 인생은 조졌어
난 다음 페이지로, 내 에픽하이로
잠금 해제, 그냥 나의 Face ID로
난 대놓고 해, 실수가 기록돼도
I’m on my way yo, 나는 무한궤도

우린 이미 다른 페이지
Better not talk
Just face it
I mastermind
넌 허우적허우적 제스처만
Gotta get get get what I want
난 잘하고 있다고 알아서
나한텐 어차피 절반이 nobody
그 nobody 너도 마찬가지
I don’t wanna talk to you
네 가치 떨어뜨려
아직도 멀었어 넌
Woah woah woah
바라는 거 없어
난 내가 벌어서 써
원하는 건 어려서부터
I finna have it
그게 내 세 살의 habit
부정했지만 man I made it
내밀지 마 네 명함이랑 fake ID
그리고 악수, I need Face ID

난 한국인, 예의가 바르지
난 한국인, 앞뒤가 다르, hol' up
Fuckin' in Eindhoven, OD in Amsterdam
Gettin' massages in Paris, c’est la vie
I got two Face IDs, ‘cause I got two phones
One for the family, 
‘nother one is 항상 켜진 무음모드
‘Cause it's messy as fuck, 불러, 청소 연구소를
죄가 날 쫓으니, 날러, 비즈니스 클래스로
Songs gettin' softer, Jewels gettin' harder
Bars gettin' colder and my chicks gettin' hotter
말하는 대로, 유재석, 탈래 SLR을
Yeah I'm short, without S and R woah

할 말 있음 올라와 수면 위로
내 눈 똑바로 보고 말해 불편신고
본 적 없거든 내 앞에서 주먹 쥔 놈
악수 한 번 건네면 곧 풀어질 손
무의미해 내게 음원차트 성적은
뚫어봐야 지붕 그 이상은 없거든
높은 목표는 내 성장판 열고
난 어제를 밟고 딛지 오늘이 내 첫걸음
못 챙겨 워라밸
죽도록 번 담에 맘 편히 떠날래 천국행
내 정신 건강에
일탈을 권할 땐 약 대신 영감 한 모금 해

우린 이미 다른 페이지
Better not talk
Just face it
I mastermind
넌 허우적허우적 제스처만
Gotta get get get what I want
난 잘하고 있다고 알아서
나한텐 어차피 절반이 nobody
그 nobody 너도 마찬가지
I don’t wanna talk to you
네 가치 떨어뜨려
아직도 멀었어 넌
Woah woah woah
바라는 거 없어
난 내가 벌어서 써
원하는 건 어려서부터
I finna have it
그게 내 세 살의 habit
부정했지만 man I made it
내밀지 마 네 명함이랑 fake ID
그리고 악수, I need Face ID

Face ID
죄다 fake news
죄다 fake IP
야 할 말 있으면
숨어서 하지 말고
내 얼굴에 대고 말해
Face ID

Face ID
Face ID
죄다 사이비 on the MIC
야 할 말 있으면
뒤에서 하지 말고
내 얼굴에 대고 말해
Face ID
Face ID

야호
야호
야호

Epik High Is Here"
우산 (Feat. 윤하),['윤하 (YOUNHA)'],[],['타블로'],[],05:02,"어느새 빗물이 내 발목에 고이고. 
참았던 눈물이 내 눈가에 고이고.
 I cry.

텅빈 방엔 시계소리, 지붕과 입 맞추는 비의 소리.
오랜만에 입은 코트 주머니속에 반지. 
손틈새 스며드는 memory.
며칠만에 나서보는 밤의 서울. 고인 빗물은 작은 거울.
그속에 난 비틀거리며 아프니까, 
그대 없이 난 한쪽 다리가 짧은 의자.
둘이서 쓰긴 작았던 우산. 차가운 세상에 섬 같았던 우산.
이젠 너무 크고 어색해. 그대 곁에 늘 젖어있던 왼쪽 어깨.
기억의 무게에 고개 숙여보니 버려진듯 풀어진 내 신발끈.
허나 내 곁엔 오직 비와 바람. 없다, 
잠시라도 우산을 들어줄 사람. and I cry.

어느새 빗물이 내 발목에 고이고
참았던 눈물이 내 눈가에 고이고 
I cry 
그대는 내 머리위에 우산
어깨위에 차가운 비 내리는밤
내 곁에 그대가 습관이 되버린 나
나 그대 없인 나 안되요 alone in the rain
하늘의 눈물이 고인 땅, 별을 감춘 구름에 보인 달.
골목길 홀로 외로운 구두 소리 메아리에 
돌아보며 가슴 졸인 맘.
나를 꼭 닮은 그림자. 
서로가 서로를 볼 수 없었던 우리가
이제야 둘인가? 대답을 그리다, 
머리 속 그림과 대답을 흐린다.
내 눈엔 너무 컸던 우산. 날 울린 세상을 향해 접던 우산.
영원의 약속에 활짝 폈던 우산. 
이제는 찢겨진 우산 아래 두 맘.
돌아봐도 이제는 없겠죠? 두 손은 주머니 속 깊게 넣겠죠.
이리저리 자유롭게 걸어도 두 볼은 가랑비도 쉽게 젖겠죠?

난 열어놨어 내 맘의 문을. 그댄 내 머리 위에 우산. 그대 그림자는 나의 그늘. 그댄 내 머리 위에 우산."
상실의 순기능 (Feat. 수현),['이수현'],"['타블로', '미쓰라']",['타블로'],['타블로'],03:30,"깜빡거리는 신호등,
굴러다니는 낙엽도
할 일 하는데.
난 왜 이럴까?

그대가 없는 밤들도 반짝거리고
가을도 봄이 될 텐데
난 왜 이럴까?
왜 사는 걸까?

할 일, 오늘도 꽤 많았지.
설거지, 방 청소, 책상 정리.
복잡한 생각 한번 할 것 없이
원위치로 가는 것들
어찌 고마웠는지.
밀렸던 자질구레한 
일들이 무너진 날 이끄네.
네 손이 놓은 내 손을 잡아준
시간의 두 손은 가기 급해.
안 읽던 책도
어느새 마지막 
한 장을 넘기는 날 발견해.
어쩌면 이런 게 상실의 순기능.
걱정 마. 난 이렇게 
바쁘게 지내니까.
내 스케줄표는 가득해.
넌 너 할 일만 신경 써.
고맙다. 내가 할 일도 하나 줘서.

깜빡거리는 신호등,
굴러다니는 낙엽도
할 일 하는데.
난 왜 이럴까?

그대가 없는 밤들도 반짝거리고
가을도 봄이 될 텐데
난 왜 이럴까?
왜 사는 걸까?

소파에 누워서 티비를 켜.
벌써 삼십분 째 
애꿎은 채널만 돌리면서…
던져둔 폰에 울리는 전화벨 소리.
누구든 상관없지.
약속 잡고서 밖에 나갈 준비를 해.
지금은 열한 시 반.
예전에는 잠들 시간.
요즘은 여기저기서 
불러 불려 다니지, 난.
바쁜 일상. 오랜만이라서 반가워.
정신없는 하루. 
불안정함이 나다워.
이렇게 써도 항상 남는 게
시간인지 감정인지 
오늘과 같을 내일.
솔직히 난 두려워.
아무리 채워봐도 
텅빈 마음 뿐이어서.

깜빡거리는 신호등,
굴러다니는 낙엽도
할 일 하는데.
난 왜 이럴까?

그대가 없는 
밤들도 반짝거리고
가을도 봄이 될 텐데
난 왜 이럴까?
너도 이럴까?

난 왜…"
스포일러,[],[],[],[],04:38,"너의 차가운 눈빛과 말투가
스포일러.
너의 모든 행동 속에 
우리의 끝이 보여.
아니라고 말해도 느껴지는
스포일러.
끝까지 봐야 할까? 
지금 떠나야 할까?
반전이 있을까 봐.

무슨 생각해? 
두 번 묻자 날 봐. 
또 대답 아닌 대답을 해. 
내일 비가 오려나 봐.
다시 창 밖을 보는 너. 
요즘 자주 보는 너의 옆모습. 
넌 한숨을 쉬고 넘쳐 솟는
정적에 잠기는 나.
빠져들면 안 되는 망상.
I know. 
내 직감은 위험해.
한 번 발 들이면 딥해질 놈. 
내 예민함은 심해. 
난 알지 왜 
뜻 모를 한 숨이 잦아지는지.
떠나가는 마음은 한숨
한숨씩 자릴 비우지.

왠지. 예전보다 바쁜 생활.
연락이 드문 날들과 
마지못해 하는 대화.
그 썼다 지우는 말들. 
다 복선이겠지.
우연인지 몰라도 
요즘은 시계를 볼 때마다 
등진 분침과 시침.
둘이 잠시 보여주는 미래.
전부 클리셰.
수백 번은 본 듯한 
이 뻔한 장면들인데
왜 난 가슴을 졸이는지.
우리, 시작에 했던 많은 약속들
바빠서 잊은 건지.
아님 벌써 
잊기 바쁜 건지.

너의 차가운 눈빛과 말투가
스포일러.
너의 모든 행동 속에 
우리의 끝이 보여.
아니라고 말해도 느껴지는
스포일러.
끝까지 봐야 할까? 
지금 떠나야 할까?
반전이 있을까 봐.
I can't let you go.

난 크게 들려, 
하지 않은 말도.
애써 아닌 척 
하지만 난 알고 있어.
갈수록 내 숨통을 쥐는 
이 망할 촉.
어쩌면 내가 내 헛된 
판타지에 널 가둬 둔건지도.
맞지 않는 배역에 
너 역시 내게 맞춰 준건지도.
버릇처럼 사랑한다고 
말 할 때도 늘 딴 생각.
대사와는 다른 표정. 
어긋난 자막.

영화 같은 사랑을 하고 싶던 
내게 걸맞은 벌인 걸까?
끝내 너의 맘을 물어도 
대답은 언제나 열린 결말.
그래, 우리 늘 
반전에 반전이었고, 
숨 막히는 장면의 연속.
그 뜨거웠던 지옥보다 못한 
이 식어버린 감정의 연옥.
난 끝이 보여. 
상상, 그 영사기를 끄지 못 해. 
입에 술이 고여
필름 끊길 때 그나마 숨이 놓여.
Just cut me out 
or kill me out.
해피엔딩은 됐어.
Don't let me fade out.

너의 차가운 눈빛과 말투가
스포일러.
너의 모든 행동 속에 
우리의 끝이 보여.
아니라고 말해도 느껴지는
스포일러.
끝까지 봐야 할까? 
지금 떠나야 할까?
반전이 있을까 봐.
I can't let you go.

어쩌면 너와 난 첫 프레임부터 
결말이 예정 된 미친 샤레이드.
어쩌면 너와 난 첫 씬부터 
마지막을 향해 행진. 
This is our last parade.

너의 차가운 눈빛과 말투가
스포일러.
너의 모든 행동 속에 
우리의 끝이 보여.
아니라고 말해도 느껴지는
스포일러.
끝까지 봐야 할까? 
지금 떠나야 할까?
반전이 있을까 봐.
I can't let you go.

끝이 보이지만 
baby don't let go.
단 한 장면이라도 놓칠까 봐 
girl I can't let go.

I can't let you go.

끝이 보이지만 
baby don't let go.
단 한 장면이라도 놓칠까 봐 
girl I can't let go.

The end?"
